duration,start_date,end_date,weeks,final_btc_price,optimum_btc,optimum_investment,optimum_value,optimum_profit,optimum_return_pct,simple_btc,simple_investment,simple_value,simple_profit,simple_return_pct,outperformance_pct,outperformance_ratio
4-Year,2018-06-22,2022-06-17,208,20440.7,5.058778786089997,-76048.5639034721,103404.9795328298,179453.5434363019,0.0,5.057330310933484,52000.0,103375.37168669807,51375.37168669807,98.79879170518859,-98.79879170518859,0.0
4-Year,2018-06-29,2022-06-24,208,21299.08,5.516243406327219,-66218.499072709,117490.90961083595,183709.40868354496,0.0,5.029441582939104,52000.0,107122.47863034662,55122.478630346624,106.00476659682043,-106.00476659682043,0.0
4-Year,2018-07-06,2022-07-01,208,19341.86,5.549721618932885,-64888.50388606606,107341.93859237322,172230.44247843928,0.0,5.003658354542016,52000.0,96780.05938138205,44780.059381382045,86.11549881035009,-86.11549881035009,0.0
4-Year,2018-07-13,2022-07-08,208,21813.79,5.573824651176755,-63769.01773315138,121586.24043759299,185355.25817074438,0.0,4.978503606089111,52000.0,108600.0321774706,56600.032177470595,108.84621572590498,-108.84621572590498,0.0
4-Year,2018-07-20,2022-07-15,208,20831.72,6.981476794626308,-39203.09525749405,145436.16977215276,184639.2650296468,0.0,4.95376822346787,52000.0,103195.5125761801,51195.5125761801,98.45290880034635,-98.45290880034635,0.0
4-Year,2018-07-27,2022-07-22,208,22706.08,7.349591257206606,-31150.416847781642,166880.4070534338,198030.82390121545,0.0,4.932576580455852,52000.0,111999.47844195704,59999.478441957035,115.3836123883789,-115.3836123883789,0.0
4-Year,2018-08-03,2022-07-29,208,23950.74,5.7098459740379885,-59290.938290356935,136755.03636423062,196045.97465458757,0.0,4.913606146121274,52000.0,117684.50326815265,65684.50326815265,126.3163524387551,-126.3163524387551,0.0
4-Year,2018-08-10,2022-08-05,208,23248.97,4.553126616966369,-78656.99544468665,105855.50412405262,184512.49956873927,0.0,4.888246213162425,52000.0,113646.68956242684,61646.689562426836,118.55132608159008,-118.55132608159008,0.0
4-Year,2018-08-17,2022-08-12,208,24396.31,4.4747826524805365,-79145.68395276811,109168.18477253744,188313.86872530554,0.0,4.858849987550522,52000.0,118538.0105397787,66538.0105397787,127.95771257649749,-127.95771257649749,0.0
4-Year,2018-08-24,2022-08-19,208,20906.77,5.324544617493572,-63521.155158592985,111319.02967267609,174840.18483126909,0.0,4.829376687223147,52000.0,100966.66764313627,48966.66764313627,94.16666854449282,-94.16666854449282,0.0
4-Year,2018-08-31,2022-08-26,208,20246.17,6.0690142459543175,-51961.79331804613,122874.29415601291,174836.08747405905,0.0,4.804558984620965,52000.0,97273.91797766344,45273.91797766344,87.065226880122,-87.065226880122,0.0
4-Year,2018-09-07,2022-09-02,208,19948.86,4.276535423064979,-80280.17601323019,85312.00643976404,165592.18245299422,0.0,4.782444632248073,52000.0,95404.31842646831,43404.31842646831,83.46984312782368,-83.46984312782368,0.0
4-Year,2018-09-14,2022-09-09,208,21363.19,4.144380413644987,-81921.35831579663,88537.18620897643,170458.54452477308,0.0,4.755360699461156,52000.0,101589.67414112158,49589.67414112158,95.36475796369534,-95.36475796369534,0.0
4-Year,2018-09-21,2022-09-16,208,19741.58,4.613010057403014,-72877.87156658465,91068.1070890262,163945.97865561087,0.0,4.726593920145782,52000.0,93310.43200207158,41310.43200207158,79.44313846552228,-79.44313846552228,0.0
4-Year,2018-09-28,2022-09-23,208,19326.86,4.518273667648074,-73779.57005444994,87324.04261632086,161103.6126707708,0.0,4.701362574066861,52000.0,90862.57627822986,38862.576278229855,74.73572361198049,-74.73572361198049,0.0
4-Year,2018-10-05,2022-09-30,208,19435.19,4.498196048214678,-73075.49026635646,87423.29485430142,160498.78512065788,0.0,4.676283397156396,52000.0,90884.45631758001,38884.456317580014,74.7778006107308,-74.7778006107308,0.0
4-Year,2018-10-12,2022-10-07,208,19539.14,4.159609894610909,-78340.61647158541,81275.20007618779,159615.8165477732,0.0,4.6511648908855605,52000.0,90879.76196609769,38879.76196609769,74.76877301172632,-74.76877301172632,0.0
4-Year,2018-10-19,2022-10-14,208,19177.69,4.010035858509716,-79944.27075977299,76903.22458338318,156847.49534315616,0.0,4.625413235592445,52000.0,88704.74115408887,36704.74115408887,70.58604068094014,-70.58604068094014,0.0
4-Year,2018-10-26,2022-10-21,208,19174.88,3.6820339819232175,-85004.98733354836,70602.55975929987,155607.54709284822,0.0,4.599182819032892,52000.0,88188.77865301742,36188.77865301742,69.59380510195658,-69.59380510195658,0.0
4-Year,2018-11-02,2022-10-28,208,20604.61,3.817569401118433,-81217.02167984459,78659.52865797888,159876.55033782346,0.0,4.572191702545946,52000.0,94208.22687619523,42208.22687619523,81.1696670696062,-81.1696670696062,0.0
4-Year,2018-11-09,2022-11-04,208,21157.24,3.5998560114658646,-84328.16442745707,76163.01760002605,160491.18202748313,0.0,4.545347761237764,52000.0,96167.01346797007,44167.01346797007,84.9365643614809,-84.9365643614809,0.0
4-Year,2018-11-16,2022-11-11,208,16916.85,0.5869896300484269,-146770.35805810898,9930.015523084729,156700.3735811937,0.0,4.517949396471881,52000.0,76429.47224770533,24429.47224770533,46.979754322510246,-46.979754322510246,0.0
4-Year,2018-11-23,2022-11-18,208,16661.52,-2.9026979530632286,-222524.48515447194,-48363.359998922046,174161.1251555499,0.0,4.480814832806261,52000.0,74657.18595309817,22657.185953098175,43.571511448265724,-43.571511448265724,0.0
